timestamp(ms),pid_val,time,err,pwm_period,temp,
"1737669680.893",,,,"10",,
"1737669680.918","1",,,,,
"1737669680.947",,,"11.07",,,
"1737669680.975",,,,"10",,
"1737669681","1",,,,,
"1737669681.028",,,"11.12",,,
"1737669681.057",,,,"10",,
"1737669681.082","1",,,,,
"1737669681.107",,,"11.12",,,
"1737669681.139",,,,"10",,
"1737669681.16","1",,,,,
"1737669681.189",,,"11.07",,,
"1737669681.221",,,,"10",,
"1737669681.242","1",,,,,
"1737669681.27",,,"11.07",,,
"1737669681.299",,,,"10",,
"1737669681.324","1",,,,,
"1737669681.352",,,"11.07",,,
"1737669681.381",,,,"10",,
"1737669681.405","1",,,,,
"1737669681.434",,,"10.97",,,
"1737669681.463",,,,"10",,
"1737669681.487","1",,,,,
"1737669681.516",,,"11.17",,,
"1737669681.545",,,,"10",,
"1737669681.57","1",,,,,
"1737669681.594",,,"11.02",,,
"1737669681.627",,,,"10",,
"1737669681.647","1",,,,,
"1737669681.676",,,"11.12",,,
"1737669681.709",,,,"10",,
"1737669681.729","1",,,,,
"1737669681.758",,,"11.07",,,
"1737669681.787",,,,"10",,
"1737669681.811","1",,,,,
"1737669681.839",,,"11.12",,,
"1737669681.868",,,,"10",,
"1737669681.893","1",,,,,
"1737669681.922",,,"11.12",,,
"1737669681.95",,,,"10",,
"1737669681.975","1",,,,,
"1737669681.999",,,"11.07",,,
"1737669682.032",,,,"10",,
"1737669682.053","1",,,,,
"1737669682.081",,,"11.07",,,
"1737669682.114",,,,"10",,
"1737669682.134","1",,,,,
"1737669682.163",,,"11.17",,,
"1737669682.196",,,,"10",,
"1737669682.216","1",,,,,
"1737669682.245",,,"11.12",,,
"1737669682.274",,,,"10",,
"1737669682.298","1",,,,,
"1737669682.327",,,"11.12",,,
"1737669682.356",,,,"10",,
"1737669682.38","1",,,,,
"1737669682.409",,,"11.12",,,
"1737669682.438",,,,"10",,
"1737669682.462","1",,,,,
"1737669682.487",,,"11.07",,,
"1737669682.519",,,,"10",,
"1737669682.54","1",,,,,
"1737669682.569",,,"11.07",,,
"1737669682.601",,,,"10",,
"1737669682.622","1",,,,,
"1737669682.65",,,"11.07",,,
"1737669682.679",,,,"10",,
"1737669682.704","1",,,,,
"1737669682.732",,,"11.12",,,
"1737669682.761",,,,"10",,
"1737669682.786","1",,,,,
"1737669682.814",,,"11.12",,,
"1737669682.843",,,,"10",,
"1737669682.868","1",,,,,
"1737669682.896",,,"10.97",,,
"1737669682.925",,,,"10",,
"1737669682.95","1",,,,,
"1737669682.974",,,"11.02",,,
"1737669683.007",,,,"10",,
"1737669683.027","1",,,,,
"1737669683.056",,,"11.07",,,
"1737669683.089",,,,"10",,
"1737669683.11","1",,,,,
"1737669683.138",,,"11.07",,,
"1737669683.167",,,,"10",,
"1737669683.191","1",,,,,
"1737669683.22",,,"11.12",,,
"1737669683.249",,,,"10",,
"1737669683.273","1",,,,,
"1737669683.302",,,"11.07",,,
"1737669683.33",,,,"10",,
"1737669683.355","1",,,,,
"1737669683.384",,,"11.17",,,
"1737669683.412",,,,"10",,
"1737669683.433","1",,,,,
"1737669683.461",,,"11.12",,,
"1737669683.494",,,,"10",,
"1737669683.515","1",,,,,
"1737669683.543",,,"11.12",,,
"1737669683.576",,,,"10",,
"1737669683.596","1",,,,,
"1737669683.625",,,"11.12",,,
"1737669683.654",,,,"10",,
"1737669683.679","1",,,,,
"1737669683.707",,,"11.07",,,
"1737669683.736",,,,"10",,
"1737669683.761","1",,,,,
"1737669683.789",,,"11.07",,,
"1737669683.818",,,,"10",,
"1737669683.842","1",,,,,
"1737669683.867",,,"11.02",,,
"1737669683.9",,,,"10",,
"1737669683.92","1",,,,,
"1737669683.949",,,"11.02",,,
"1737669683.982",,,,"10",,
"1737669684.002","1",,,,,
"1737669684.031",,,"11.02",,,
"1737669684.059",,,,"10",,
"1737669684.084","1",,,,,
"1737669684.113",,,"11.17",,,
"1737669684.141",,,,"10",,
"1737669684.166","1",,,,,
"1737669684.195",,,"11.07",,,
"1737669684.223",,,,"10",,
"1737669684.248","1",,,,,
"1737669684.277",,,"11.02",,,
"1737669684.305",,,,"10",,
"1737669684.33","1",,,,,
"1737669684.354",,,"11.12",,,
"1737669684.387",,,,"10",,
"1737669684.408","1",,,,,
"1737669684.436",,,"11.17",,,
"1737669684.469",,,,"10",,
"1737669684.49","1",,,,,
"1737669684.518",,,"11.02",,,
"1737669684.547",,,,"10",,
"1737669684.571","1",,,,,
"1737669684.6",,,"11.12",,,
"1737669684.629",,,,"10",,
"1737669684.653","1",,,,,
"1737669684.682",,,"11.02",,,
"1737669684.711",,,,"10",,
"1737669684.736","1",,,,,
"1737669684.764",,,"11.07",,,
"1737669684.793",,,,"10",,
"1737669684.813","1",,,,,
"1737669684.842",,,"11.02",,,
"1737669684.875",,,,"10",,
"1737669684.895","1",,,,,
"1737669684.924",,,"11.12",,,
"1737669684.957",,,,"10",,
"1737669684.977","1",,,,,
"1737669685.006",,,"11.17",,,
"1737669685.034",,,,"10",,
"1737669685.059","1",,,,,
"1737669685.088",,,"11.17",,,
"1737669685.116",,,,"10",,
"1737669685.141","1",,,,,
"1737669685.169",,,"11.07",,,
"1737669685.198",,,,"10",,
"1737669685.223","1",,,,,
"1737669685.247",,,"11.12",,,
"1737669685.28",,,,"10",,
"1737669685.3","1",,,,,
"1737669685.329",,,"11.02",,,
"1737669685.362",,,,"10",,
"1737669685.382","1",,,,,
"1737669685.411",,,"11.07",,,
"1737669685.44",,,,"10",,
"1737669685.464","1",,,,,
"1737669685.493",,,"11.07",,,
"1737669685.522",,,,"10",,
"1737669685.547","1",,,,,
"1737669685.575",,,"11.07",,,
"1737669685.604",,,,"10",,
"1737669685.628","1",,,,,
"1737669685.657",,,"11.12",,,
"1737669685.685",,,,"10",,
"1737669685.71","1",,,,,
"1737669685.735",,,"11.07",,,
"1737669685.767",,,,"10",,
"1737669685.788","1",,,,,
"1737669685.817",,,"11.12",,,
"1737669685.849",,,,"10",,
"1737669685.87","1",,,,,
"1737669685.898",,,"11.02",,,
"1737669685.927",,,,"10",,
"1737669685.952","1",,,,,
"1737669685.98",,,"11.02",,,
"1737669686.009",,,,"10",,
"1737669686.034","1",,,,,
"1737669686.062",,,"11.17",,,
"1737669686.091",,,,"10",,
"1737669686.116","1",,,,,
"1737669686.144",,,"11.07",,,
"1737669686.173",,,,"10",,
"1737669686.197","1",,,,,
"1737669686.222",,,"11.12",,,
"1737669686.255",,,,"10",,
"1737669686.275","1",,,,,
"1737669686.304",,,"11.07",,,
"1737669686.337",,,,"10",,
"1737669686.357","1",,,,,
"1737669686.386",,,"11.07",,,
"1737669686.414",,,,"10",,
"1737669686.439","1",,,,,
"1737669686.468",,,"11.07",,,
"1737669686.496",,,,"10",,
"1737669686.521","1",,,,,
"1737669686.55",,,"11.07",,,
"1737669686.579",,,,"10",,
"1737669686.603","1",,,,,
"1737669686.627",,,"11.02",,,
"1737669686.66",,,,"10",,
"1737669686.681","1",,,,,
"1737669686.709",,,"11.12",,,
"1737669686.742",,,,"10",,
"1737669686.763","1",,,,,
"1737669686.791",,,"11.12",,,
"1737669686.824",,,,"10",,
"1737669686.845","1",,,,,
"1737669686.873",,,"11.07",,,
"1737669686.902",,,,"10",,
"1737669686.927","1",,,,,
"1737669686.955",,,"11.07",,,
"1737669686.984",,,,"10",,
"1737669687.008","1",,,,,
"1737669687.037",,,"11.07",,,
"1737669687.066",,,,"10",,
"1737669687.09","1",,,,,
"1737669687.115",,,"11.12",,,
"1737669687.148",,,,"10",,
"1737669687.168","1",,,,,
"1737669687.197",,,"10.93",,,
"1737669687.229",,,,"10",,
"1737669687.25","1",,,,,
"1737669687.279",,,"11.07",,,
"1737669687.308",,,,"10",,
"1737669687.332","1",,,,,
"1737669687.361",,,"11.02",,,
"1737669687.39",,,,"10",,
"1737669687.414","1",,,,,
"1737669687.443",,,"11.07",,,
"1737669687.471",,,,"10",,
"1737669687.496","1",,,,,
"1737669687.525",,,"11.12",,,
"1737669687.553",,,,"10",,
"1737669687.578","1",,,,,
"1737669687.602",,,"11.07",,,
"1737669687.635",,,,"10",,
"1737669687.656","1",,,,,
"1737669687.684",,,"11.07",,,
"1737669687.717",,,,"10",,
"1737669687.737","1",,,,,
"1737669687.766",,,"11.02",,,
"1737669687.795",,,,"10",,
"1737669687.819","1",,,,,
"1737669687.848",,,"11.12",,,
"1737669687.877",,,,"10",,
"1737669687.902","1",,,,,
"1737669687.93",,,"11.17",,,
"1737669687.959",,,,"10",,
"1737669687.984","1",,,,,
"1737669688.012",,,"11.02",,,
"1737669688.04",,,,"10",,
"1737669688.061","1",,,,,
"1737669688.09",,,"11.12",,,
"1737669688.122",,,,"10",,
"1737669688.143","1",,,,,
"1737669688.172",,,"11.02",,,
"1737669688.204",,,,"10",,
"1737669688.225","1",,,,,
"1737669688.254",,,"11.02",,,
"1737669688.282",,,,"10",,
"1737669688.307","1",,,,,
"1737669688.335",,,"11.07",,,
"1737669688.364",,,,"10",,
"1737669688.389","1",,,,,
"1737669688.417",,,"11.07",,,
"1737669688.446",,,,"10",,
"1737669688.471","1",,,,,
"1737669688.495",,,"11.07",,,
"1737669688.528",,,,"10",,
"1737669688.548","1",,,,,
"1737669688.577",,,"11.07",,,
"1737669688.61",,,,"10",,
"1737669688.631","1",,,,,
"1737669688.659",,,"11.02",,,
"1737669688.688",,,,"10",,
"1737669688.712","1",,,,,
"1737669688.741",,,"11.12",,,
"1737669688.77",,,,"10",,
"1737669688.794","1",,,,,
"1737669688.823",,,"11.07",,,
"1737669688.851",,,,"10",,
"1737669688.876","1",,,,,
"1737669688.905",,,"11.02",,,
"1737669688.933",,,,"10",,
"1737669688.958","1",,,,,
"1737669688.983",,,"11.02",,,
"1737669689.015",,,,"10",,
"1737669689.036","1",,,,,
"1737669689.064",,,"11.12",,,
"1737669689.097",,,,"10",,
"1737669689.118","1",,,,,
"1737669689.146",,,"11.02",,,
"1737669689.175",,,,"10",,
"1737669689.2","1",,,,,
"1737669689.229",,,"11.02",,,
"1737669689.257",,,,"10",,
"1737669689.282","1",,,,,
"1737669689.31",,,"11.07",,,
"1737669689.339",,,,"10",,
"1737669689.363","1",,,,,
"1737669689.392",,,"11.02",,,
"1737669689.421",,,,"10",,
"1737669689.441","1",,,,,
"1737669689.47",,,"11.07",,,
"1737669689.503",,,,"10",,
"1737669689.523","1",,,,,
"1737669689.552",,,"11.12",,,
"1737669689.585",,,,"10",,
"1737669689.605","1",,,,,
"1737669689.634",,,"11.12",,,
"1737669689.662",,,,"10",,
"1737669689.687","1",,,,,
"1737669689.716",,,"11.07",,,
"1737669689.744",,,,"10",,
"1737669689.769","1",,,,,
"1737669689.798",,,"11.12",,,
"1737669689.826",,,,"10",,
"1737669689.851","1",,,,,
"1737669689.875",,,"11.12",,,
"1737669689.908",,,,"10",,
"1737669689.929","1",,,,,
"1737669689.958",,,"11.02",,,
"1737669689.99",,,,"10",,
"1737669690.011","1",,,,,
"1737669690.04",,,"11.07",,,
"1737669690.072",,,,"10",,
"1737669690.092","1",,,,,
"1737669690.121",,,"11.12",,,
"1737669690.15",,,,"10",,
"1737669690.174","1",,,,,
"1737669690.203",,,"11.12",,,
"1737669690.232",,,,"10",,
"1737669690.256","1",,,,,
"1737669690.285",,,"11.07",,,
"1737669690.314",,,,"10",,
"1737669690.338","1",,,,,
"1737669690.363",,,"11.12",,,
"1737669690.396",,,,"10",,
"1737669690.416","1",,,,,
"1737669690.445",,,"11.17",,,
"1737669690.477",,,,"10",,
"1737669690.498","1",,,,,
"1737669690.527",,,"11.17",,,
"1737669690.556",,,,"10",,
"1737669690.58","1",,,,,
"1737669690.609",,,"11.12",,,
"1737669690.637",,,,"10",,
"1737669690.662","1",,,,,
"1737669690.691",,,"11.17",,,
"1737669690.719",,,,"10",,
"1737669690.744","1",,,,,
"1737669690.772",,,"11.17",,,
"1737669690.801",,,,"10",,
"1737669690.826","1",,,,,
"1737669690.85",,,"11.07",,,
"1737669690.883",,,,"10",,
"1737669690.903","1",,,,,
"1737669690.932",,,"11.07",,,
"1737669690.965",,,,"10",,
"1737669690.985","1",,,,,
"1737669691.014",,,"11.12",,,
"1737669691.043",,,,"10",,
"1737669691.067","1",,,,,
"1737669691.096",,,"11.07",,,
"1737669691.125",,,,"10",,
"1737669691.149","1",,,,,
"1737669691.178",,,"11.02",,,
"1737669691.207",,,,"10",,
"1737669691.232","1",,,,,
"1737669691.26",,,"11.07",,,
"1737669691.288",,,,"10",,
"1737669691.309","1",,,,,
"1737669691.338",,,"11.17",,,
"1737669691.37",,,,"10",,
"1737669691.391","1",,,,,
"1737669691.42",,,"11.07",,,
"1737669691.452",,,,"10",,
"1737669691.473","1",,,,,
"1737669691.501",,,"11.12",,,
"1737669691.53",,,,"10",,
"1737669691.555","1",,,,,
"1737669691.583",,,"11.07",,,
"1737669691.612",,,,"10",,
"1737669691.637","1",,,,,
"1737669691.665",,,"11.02",,,
"1737669691.694",,,,"10",,
"1737669691.718","1",,,,,
"1737669691.743",,,"11.07",,,
"1737669691.776",,,,"10",,
"1737669691.797","1",,,,,
"1737669691.825",,,"11.12",,,
"1737669691.858",,,,"10",,
"1737669691.878","1",,,,,
"1737669691.907",,,"11.17",,,
"1737669691.936",,,,"10",,
"1737669691.96","1",,,,,
"1737669691.989",,,"11.02",,,
"1737669692.018",,,,"10",,
"1737669692.042","1",,,,,
"1737669692.071",,,"11.12",,,
"1737669692.099",,,,"10",,
"1737669692.124","1",,,,,
"1737669692.153",,,"11.12",,,
"1737669692.181",,,,"10",,
"1737669692.206","1",,,,,
"1737669692.23",,,"11.07",,,
"1737669692.264",,,,"10",,
"1737669692.284","1",,,,,
"1737669692.312",,,"11.02",,,
"1737669692.345",,,,"10",,
"1737669692.366","1",,,,,
"1737669692.394",,,"11.02",,,
"1737669692.423",,,,"10",,
"1737669692.448","1",,,,,
"1737669692.476",,,"11.12",,,
"1737669692.505",,,,"10",,
"1737669692.53","1",,,,,
"1737669692.558",,,"11.02",,,
"1737669692.587",,,,"10",,
"1737669692.611","1",,,,,
"1737669692.64",,,"11.07",,,
"1737669692.669",,,,"10",,
"1737669692.689","1",,,,,
"1737669692.718",,,"11.07",,,
"1737669692.751",,,,"10",,
"1737669692.771","1",,,,,
"1737669692.8",,,"11.07",,,
"1737669692.833",,,,"10",,
"1737669692.853","1",,,,,
"1737669692.882",,,"11.12",,,
"1737669692.91",,,,"10",,
"1737669692.935","1",,,,,
"1737669692.964",,,"11.12",,,
"1737669692.992",,,,"10",,
"1737669693.017","1",,,,,
"1737669693.046",,,"11.12",,,
"1737669693.074",,,,"10",,
"1737669693.099","1",,,,,
"1737669693.123",,,"11.12",,,
"1737669693.156",,,,"10",,
"1737669693.177","1",,,,,
"1737669693.205",,,"11.12",,,
"1737669693.238",,,,"10",,
"1737669693.259","1",,,,,
"1737669693.287",,,"11.12",,,
"1737669693.316",,,,"10",,
"1737669693.341","1",,,,,
"1737669693.369",,,"11.02",,,
"1737669693.398",,,,"10",,
"1737669693.422","1",,,,,
"1737669693.451",,,"11.12",,,
"1737669693.48",,,,"10",,
"1737669693.504","1",,,,,
"1737669693.533",,,"11.12",,,
"1737669693.562",,,,"10",,
"1737669693.586","1",,,,,
"1737669693.611",,,"11.17",,,
"1737669693.644",,,,"10",,
"1737669693.664","1",,,,,
"1737669693.693",,,"11.12",,,
"1737669693.726",,,,"10",,
"1737669693.746","1",,,,,
"1737669693.775",,,"11.07",,,
"1737669693.803",,,,"10",,
"1737669693.828","1",,,,,
"1737669693.857",,,"11.07",,,
"1737669693.885",,,,"10",,
"1737669693.91","1",,,,,
"1737669693.938",,,"11.12",,,
"1737669693.967",,,,"10",,
"1737669693.992","1",,,,,
"1737669694.02",,,"10.97",,,
"1737669694.049",,,,"10",,
"1737669694.074","1",,,,,
"1737669694.098",,,"11.12",,,
"1737669694.131",,,,"10",,
"1737669694.151","1",,,,,
"1737669694.18",,,"11.12",,,
"1737669694.213",,,,"10",,
"1737669694.233","1",,,,,
"1737669694.262",,,"11.07",,,
"1737669694.291",,,,"10",,
"1737669694.315","1",,,,,
"1737669694.344",,,"11.02",,,
"1737669694.373",,,,"10",,
"1737669694.397","1",,,,,
"1737669694.426",,,"11.12",,,
"1737669694.455",,,,"10",,
"1737669694.479","1",,,,,
"1737669694.504",,,"11.07",,,
"1737669694.536",,,,"10",,
"1737669694.557","1",,,,,
"1737669694.586",,,"11.07",,,
"1737669694.618",,,,"10",,
"1737669694.639","1",,,,,
"1737669694.668",,,"11.12",,,
"1737669694.7",,,,"10",,
"1737669694.721","1",,,,,
"1737669694.749",,,"11.02",,,
"1737669694.778",,,,"10",,
"1737669694.803","1",,,,,
"1737669694.831",,,"11.02",,,
"1737669694.86",,,,"10",,
"1737669694.884","1",,,,,
"1737669694.914",,,"11.17",,,
"1737669694.942",,,,"10",,
"1737669694.967","1",,,,,
"1737669694.991",,,"11.02",,,
"1737669695.025",,,,"10",,
"1737669695.044","1",,,,,
"1737669695.073",,,"11.07",,,
"1737669695.106",,,,"10",,
"1737669695.126","1",,,,,
"1737669695.155",,,"10.97",,,
"1737669695.184",,,,"10",,
"1737669695.208","1",,,,,
"1737669695.237",,,"11.02",,,
"1737669695.265",,,,"10",,
"1737669695.29","1",,,,,
"1737669695.319",,,"11.17",,,
"1737669695.347",,,,"10",,
"1737669695.372","1",,,,,
"1737669695.401",,,"11.07",,,
"1737669695.43",,,,"10",,
"1737669695.454","1",,,,,
"1737669695.478",,,"11.12",,,
"1737669695.511",,,,"10",,
"1737669695.532","1",,,,,
"1737669695.561",,,"11.12",,,
"1737669695.593",,,,"10",,
"1737669695.614","1",,,,,
"1737669695.643",,,"10.93",,,
"1737669695.671",,,,"10",,
"1737669695.696","1",,,,,
"1737669695.724",,,"11.12",,,
"1737669695.753",,,,"10",,
"1737669695.778","1",,,,,
"1737669695.806",,,"11.17",,,
"1737669695.835",,,,"10",,
"1737669695.859","1",,,,,
"1737669695.888",,,"11.02",,,
"1737669695.917",,,,"10",,
"1737669695.937","1",,,,,
"1737669695.966",,,"11.12",,,
"1737669695.999",,,,"10",,
"1737669696.019","1",,,,,
"1737669696.048",,,"11.07",,,
"1737669696.081",,,,"10",,
"1737669696.101","1",,,,,
"1737669696.13",,,"11.02",,,
"1737669696.158",,,,"10",,
"1737669696.183","1",,,,,
"1737669696.212",,,"11.22",,,
"1737669696.24",,,,"10",,
"1737669696.265","1",,,,,
"1737669696.294",,,"11.07",,,
"1737669696.322",,,,"10",,
"1737669696.347","1",,,,,
"1737669696.372",,,"11.07",,,
"1737669696.404",,,,"10",,
"1737669696.425","1",,,,,
"1737669696.453",,,"11.12",,,
"1737669696.486",,,,"10",,
"1737669696.507","1",,,,,
"1737669696.535",,,"11.02",,,
"1737669696.564",,,,"10",,
"1737669696.588","1",,,,,
"1737669696.617",,,"11.12",,,
"1737669696.646",,,,"10",,
"1737669696.67","1",,,,,
"1737669696.699",,,"11.07",,,
"1737669696.728",,,,"10",,
"1737669696.753","1",,,,,
"1737669696.781",,,"11.07",,,
"1737669696.81",,,,"10",,
"1737669696.834","1",,,,,
"1737669696.859",,,"11.07",,,
"1737669696.892",,,,"10",,
"1737669696.912","1",,,,,
"1737669696.941",,,"11.12",,,
"1737669696.973",,,,"10",,
"1737669696.994","1",,,,,
"1737669697.023",,,"11.17",,,
"1737669697.051",,,,"10",,
"1737669697.076","1",,,,,
"1737669697.105",,,"11.02",,,
"1737669697.133",,,,"10",,
"1737669697.158","1",,,,,
"1737669697.186",,,"11.12",,,
"1737669697.215",,,,"10",,
"1737669697.24","1",,,,,
"1737669697.268",,,"11.07",,,
"1737669697.297",,,,"10",,
"1737669697.317","1",,,,,
"1737669697.346",,,"11.07",,,
"1737669697.379",,,,"10",,
"1737669697.399","1",,,,,
"1737669697.428",,,"11.07",,,
"1737669697.461",,,,"10",,
"1737669697.482","1",,,,,
"1737669697.51",,,"11.12",,,
"1737669697.539",,,,"10",,
"1737669697.564","1",,,,,
"1737669697.592",,,"11.17",,,
"1737669697.621",,,,"10",,
"1737669697.645","1",,,,,
"1737669697.674",,,"11.12",,,
"1737669697.702",,,,"10",,
"1737669697.727","1",,,,,
"1737669697.752",,,"11.07",,,
"1737669697.784",,,,"10",,
"1737669697.805","1",,,,,
"1737669697.834",,,"11.07",,,
"1737669697.866",,,,"10",,
"1737669697.887","1",,,,,
"1737669697.915",,,"11.12",,,
"1737669697.948",,,,"10",,
"1737669697.969","1",,,,,
"1737669697.998",,,"11.12",,,
"1737669698.026",,,,"10",,
"1737669698.051","1",,,,,
"1737669698.08",,,"11.07",,,
"1737669698.108",,,,"10",,
"1737669698.133","1",,,,,
"1737669698.162",,,"11.07",,,
"1737669698.19",,,,"10",,
"1737669698.215","1",,,,,
"1737669698.239",,,"11.07",,,
"1737669698.272",,,,"10",,
"1737669698.292","1",,,,,
"1737669698.321",,,"11.12",,,
"1737669698.354",,,,"10",,
"1737669698.374","1",,,,,
"1737669698.403",,,"11.07",,,
"1737669698.431",,,,"10",,
"1737669698.456","1",,,,,
"1737669698.485",,,"10.97",,,
"1737669698.513",,,,"10",,
"1737669698.538","1",,,,,
"1737669698.567",,,"11.07",,,
"1737669698.596",,,,"10",,
"1737669698.62","1",,,,,
"1737669698.649",,,"11.02",,,
"1737669698.678",,,,"10",,
"1737669698.702","1",,,,,
"1737669698.727",,,"11.07",,,
"1737669698.759",,,,"10",,
"1737669698.78","1",,,,,
"1737669698.809",,,"11.07",,,
"1737669698.841",,,,"10",,
"1737669698.862","1",,,,,
"1737669698.89",,,"11.07",,,
"1737669698.919",,,,"10",,
"1737669698.944","1",,,,,
"1737669698.972",,,"11.07",,,
"1737669699.001",,,,"10",,
"1737669699.025","1",,,,,
"1737669699.054",,,"11.07",,,
"1737669699.083",,,,"10",,
"1737669699.107","1",,,,,
"1737669699.136",,,"11.12",,,
"1737669699.165",,,,"10",,
"1737669699.186","1",,,,,
"1737669699.214",,,"11.02",,,
"1737669699.247",,,,"10",,
"1737669699.267","1",,,,,
"1737669699.296",,,"11.22",,,
"1737669699.329",,,,"10",,
"1737669699.349","1",,,,,
"1737669699.378",,,"11.02",,,
"1737669699.406",,,,"10",,
"1737669699.431","1",,,,,
"1737669699.46",,,"11.12",,,
"1737669699.488",,,,"10",,
"1737669699.513","1",,,,,
"1737669699.542",,,"11.02",,,
"1737669699.57",,,,"10",,
"1737669699.595","1",,,,,
"1737669699.619",,,"11.02",,,
"1737669699.652",,,,"10",,
"1737669699.673","1",,,,,
"1737669699.701",,,"11.02",,,
"1737669699.734",,,,"10",,
"1737669699.755","1",,,,,
"1737669699.783",,,"11.12",,,
"1737669699.812",,,,"10",,
"1737669699.836","1",,,,,
"1737669699.865",,,"11.12",,,
"1737669699.894",,,,"10",,
"1737669699.918","1",,,,,
"1737669699.947",,,"11.17",,,
"1737669699.976",,,,"10",,
"1737669700","1",,,,,
"1737669700.029",,,"11.07",,,
"1737669700.058",,,,"10",,
"1737669700.082","1",,,,,
"1737669700.107",,,"11.07",,,
"1737669700.14",,,,"10",,
"1737669700.16","1",,,,,
"1737669700.189",,,"11.07",,,
"1737669700.221",,,,"10",,
"1737669700.242","1",,,,,
"1737669700.271",,,"11.07",,,
"1737669700.299",,,,"10",,
"1737669700.324","1",,,,,
"1737669700.352",,,"11.12",,,
"1737669700.381",,,,"10",,
"1737669700.406","1",,,,,
"1737669700.434",,,"11.02",,,
"1737669700.463",,,,"10",,
"1737669700.488","1",,,,,
"1737669700.517",,,"11.17",,,
"1737669700.545",,,,"10",,
"1737669700.565","1",,,,,
"1737669700.595",,,"11.02",,,
"1737669700.627",,,,"10",,
"1737669700.648","1",,,,,
"1737669700.676",,,"11.12",,,
"1737669700.709",,,,"10",,
"1737669700.73","1",,,,,
"1737669700.758",,,"11.02",,,
"1737669700.787",,,,"10",,
"1737669700.811","1",,,,,
"1737669700.84",,,"11.07",,,
"1737669700.868",,,,"10",,
"1737669700.893","1",,,,,
"1737669700.922",,,"11.02",,,
"1737669700.95",,,,"10",,
"1737669700.975","1",,,,,
"1737669701",,,"11.12",,,
"1737669701.032",,,,"10",,
"1737669701.053","1",,,,,
"1737669701.081",,,"11.07",,,
"1737669701.115",,,,"10",,
"1737669701.135","1",,,,,
"1737669701.163",,,"11.12",,,
"1737669701.192",,,,"10",,
"1737669701.217","1",,,,,
"1737669701.246",,,"11.02",,,
"1737669701.274",,,,"10",,
"1737669701.299","1",,,,,
"1737669701.327",,,"11.07",,,
"1737669701.356",,,,"10",,
"1737669701.381","1",,,,,
"1737669701.409",,,"10.97",,,
"1737669701.438",,,,"10",,
"1737669701.463","1",,,,,
"1737669701.487",,,"11.12",,,
"1737669701.52",,,,"10",,
"1737669701.54","1",,,,,
"1737669701.569",,,"10.97",,,
"1737669701.602",,,,"10",,
"1737669701.622","1",,,,,
"1737669701.651",,,"11.12",,,
"1737669701.679",,,,"10",,
"1737669701.704","1",,,,,
"1737669701.733",,,"11.02",,,
"1737669701.761",,,,"10",,
"1737669701.786","1",,,,,
"1737669701.815",,,"11.12",,,
"1737669701.843",,,,"10",,
"1737669701.868","1",,,,,
"1737669701.897",,,"11.02",,,
"1737669701.925",,,,"10",,
"1737669701.95","1",,,,,
"1737669701.975",,,"11.07",,,
"1737669702.007",,,,"10",,
"1737669702.028","1",,,,,
"1737669702.056",,,"11.02",,,
"1737669702.09",,,,"10",,
